 Blood Bank Name, State, District, Address,Pincode, Mobile, Email, Website, Category, Blood Component Available, Latitude, Longitude
District Hospital Blood Bank,Uttar Pradesh,BARABANKI,"District Hospital, Barabanki",222501,9839147027,N/A,,Government,NO,0,0
Hind Institute of Medical Sciences,Uttar Pradesh,BARABANKI,"Near Minar Canal, Safedabad-Faizabad Road",225003,7309036038,,,Private,YES,26.906812,81.122637
Mayo Institute of Medical Sciences Blood Bank,Uttar Pradesh,BARABANKI,"Run by Bodhisatva Charitable Trust, Faizabad Road, Gadia aizabad Road, Gadia, Barabanki, Dharsani",225001,N/A,N/A,,Private,YES,26.909607,81.141778
Military Hospital Blood Bank,Uttar Pradesh,BAREILLY,Hamirpur,243001,N/A,,,Government,,28.332012,79.426081
District Hospital Blood Bank,Uttar Pradesh,BAREILLY,"Civil Lines, Bareilly, Uttar Pradesh
",243003,9412377198,N/A,,Government,YES,28.361399,79.416409
Ganga Sheel Charitable Trust Blood Bank,Uttar Pradesh,BAREILLY," A-3, Rampur Garden",243001,9219413775,N/A,,Private,YES,28.347944,79.426794
Sri Ram Murti Samarak Institute of Medical Sciences Blood Bank,Uttar Pradesh,BAREILLY,"Bareilly - Nainital Road, Bhojipura, Bareilly, Uttar Pradesh",243202,N/A,drmilam@srmsims.ac.in,http://www.srms.ac.in,Charity,YES,28.481101,79.443201
Keshav Madho Blood Bank and Pathology,Uttar Pradesh,BAREILLY,,,N/A,,,Private,,0,0
Ruhelkhand Medical College and Hospital Blood Bank,Uttar Pradesh,BAREILLY,Pilibhit By Pass Road,243006,N/A,N/A,,Private,YES,28.380191,79.462087
Clara Swain Mission Hospital Blood Bank,Uttar Pradesh,BAREILLY,"Civil Lines, Bareilly",243001,9415375744,,,Private,,28.349627,79.415881
IMA Blood Bank,Uttar Pradesh,BAREILLY,"IMA Bhawan, 110, Civil Lines",243001,N/A,,,Private,,28.346917,79.424735
IMA Blood Bank,Uttar Pradesh,BAREILLY,"Run by Indian Medical Association, Civil Lines",243001,N/A,,,Government,,28.346917,79.424734
Rajshree Medical Research Institute,Uttar Pradesh,BAREILLY,"21 Km Near Toll Plaza, Rampur Road Bareilly",243501,8192000283,,,Charity,YES,28.48308,79.285312
District Hospital Blood Bank,Uttar Pradesh,BASTI,Bhinga,272002,9415133713,,,Government,,26.800773,82.759197
M/s Sewa Blood Bank,Uttar Pradesh,BASTI,"R.K. Puram, Near Kotwali",272002,9415332416,sewabloodbank8@gmail.com,,Charity,NO,26.7800781,82.76441135
OPEC Hospital Blood Bank,Uttar Pradesh,BASTI,"OPEC Hospital, Basti
",272002,9415375744,N/A,,Private,YES,26.779101,82.762356
District Hospital Blood Bank,Uttar Pradesh,BIJNOR,Lakhimpur Khiri,246701,N/A,,,Government,,29.384974,78.136521
Sarvodaya Jankalyan Samati,Uttar Pradesh,BIJNOR,"Near Exchange, Kalagarh Road, Dharmpur",212650,N/A,,,Private,,26.005074,81.044749
Shubham Sarvam Charitable Blood Bank,Uttar Pradesh,BIJNOR, Civil Lines,,9456040012,,,Charity,YES,0,0
District Hospital Blood Bank,Uttar Pradesh,BUDAUN,Bareilly,243601,7351009125,,,Government,,28.027732,79.126275
Wadhwa Blood Bank,Uttar Pradesh,BULANDSHAHR,"Chattari Compound, Teachers Colony Road, Near Lala Ka Chaurah",203001,9359202132,,,Private,,0,0
Babu Banarasi Das District Hospital Blood Bank,Uttar Pradesh,BULANDSHAHR,Gonda,201206,9415538903,,,Government,,28.728373,77.468591
NAPS (Narora Atomic Power Station) Hospital Blood Bank,Uttar Pradesh,BULANDSHAHR,Narora,203389,9837085170,,,Private,,28.205915,78.379131
Pt. Kamlapati District Combined Hospital,Uttar Pradesh,CHANDAULI,"District Combined Hospital, Chandauli
",232104,9457472623,N/A,,Government,NO,0,0
Combined District Hospital Blood Bank,Uttar Pradesh,CHITRAKOOT,"Combined District Hospital
",210205,9651882226,N/A,,Government,NO,25.196167,80.914609
District Hospital Blood Bank,Uttar Pradesh,DEORIA,"Saket Nagar, Deoria",274807,N/A,,,Government,,26.495682,83.781488
District Hospital Blood Bank,Uttar Pradesh,ETAH,Ferozabad,,N/A,,,Government,,0,0
Dr. Bhimrao Ambedkar Combined Hospital (District Hospital),Uttar Pradesh,ETAWAH,"Civil Lines, Etawah
",206001,"09415285642, 09415190840",N/A,,Government,NO,26.787903,79.005523
Rural Institute of Medical Sciences and Research,Uttar Pradesh,ETAWAH,Safai,206130,9411689343,N/A,http:/www.rimsnr.ac.in,Government,YES,26.96145,78.962055
Achintya Charitable,Uttar Pradesh,ETAWAH,"199/180-A, Friends Colony, Bharathana Chauraha Road",,7055014666,,,Charity,NO,0,0
District Hospital Blood Bank,Uttar Pradesh,FAIZABAD,Shahjahanpur,224001,9557207450,,,Government,,26.777679,82.141614
Chandan Diagnostics Center and Blood Bank,Uttar Pradesh,FAIZABAD,"Mukut Complex Near District Hospital Rakabganj, Lajpat Nagar, Faizabad",224001,N/A,,,Private,,26.774399,82.143734
The Care Hospital Blood Bank,Uttar Pradesh,FARRUKHABAD,"5C/A-22, Avas Vikas, Near Lohiya Hospital",209625,5692240248,,,Private,YES,0,0
Dr. Ram Manohar Lohiya Joint Hospital,Uttar Pradesh,FARRUKHABAD,"Dr. Ram Manohar Lohiya Joint Hospital, Farrukhabad
",209625,9415486482,N/A,,Government,NO,0,0
District Hospital Blood Bank,Uttar Pradesh,FARRUKHABAD,"MDR 110W, LIC Officers Colony, Awas Vikas Colony, Farrukhabad",209625,N/A,,,Government,,0,0
District Hospital Blood Bank,Uttar Pradesh,FATEHPUR,Azamgarh,222001,9719429909,,,Government,,25.936333,80.813799
Shyam Nursing Home and Blood Bank,Uttar Pradesh,FATEHPUR,"400/761, Civil Line (Near S.P. Residence)",212601,"09918571436, 08896865866",,http://www.rjdc.in,Private,NO,25.930647,80.800955
"SNM, District Hospital Blood Bank",Uttar Pradesh,FIROZABAD,"Rehna Road, Bypass Road Company Baag, Arya Nagar
",283203,9415068049,N/A,,Government,NO,27.157627,78.389439
Jeevan Dhara Blood Bank,Uttar Pradesh,FIROZABAD,"8 Buddh Ashram, Bye Paas Road",283203,N/A,,,Private,,27.160557,78.398609
Dr. M.C. Agrawal Hospital and Research Centre Private limited,Uttar Pradesh,FIROZABAD,"Kotla Chungi, Bye Pass Road",283203,N/A,,,Private,,27.159652,78.403521
F.H. Hospital Blood Bank,Uttar Pradesh,FIROZABAD,"Near Etmadpur, Railway over Bridge NH-2, Tundla District, Firozabad",283201,"08477936666, 08194005712",,,Private,,27.230412,78.212065
Sevarth Sansthan Blood Bank,Uttar Pradesh,FIROZABAD,"Sevarth Sansthan Seth Bimal Kumar Jain Trauma and Phsytherapy Dharmarth Samiti, NH-2, Agra Road",283102,"08194027777, 08066885404",,,Private,,27.23053,78.21226
Naveen Hospital,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Railway Road,201310,N/A,,,Private,,28.477615,77.518568
International Hospital Private Limited Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR," B-22, Sector -62",201301,N/A,N/A,,Private,,0,0
Noida Charitable Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR," 2Nd Floor, Khasra No. 587, I Block Near Shiv Mandir, Moolchand Tower Village-Chaura Sec-22, Noida",,8130999392,,,Charity,YES,0,0
Sharda Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"Plot No. 32-34, Knowledge Park-III",201306,N/A,,http://www.shardahospital.org/,Private,,28.474444,77.4827
Kailash Hospital Llimited,Uttar Pradesh,GAUTAM BUDDHA NAGAR," A unit of Kailash Group of Hospitals Limited, 23 KP-1, NEAR PARI CHOWK",201301,N/A,,http://khlbloodbank@gmail.com,Private,YES,28.577474,77.331606
Shri Krishna Life Line Hospital Blood Bank ,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"NH-22D, Sector Tau Swarn Nagri, Greater Noida, Gautam Buddha Nagar",201310,9540700708,,,Private,YES,28.460872,77.532452
Kailash Hospital and Heart Institute ,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"A Unit of Kailash Healthcare Limited, H-33, Sector-27, Noida",201301,8750472409,N/A,http://www.kailashhealthcare.com/,Private,,28.577472,77.331603
Metro Hospital and Heart Institute,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"X-1, Sector -12",201301,9415060292,,,Private,YES,28.597462,77.338017
Prayag Hospital and Research Centre,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"J-206/A-01, Sector-41",201301,N/A,N/A,,Private,,28.563602,77.365447
Prakash Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"D-12, 12-A, 12-B, Sector-33",201301,"09810075993, 09810073239",N/A,,Private,YES,28.58564,77.34952
Rotary Noida Research and Social Welfare Trust Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"E-2, IMA House, Sector-31, Nithari",201308,N/A,N/A,http://www.rotarynoidabloodbank.org,Private,NO,28.576931,77.339491
Dr. Bhimrao Ambedkar Multi Specialty Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Sector-30,201303,"09818789357, 09212798250",N/A,,Private,NO,28.576565,77.33745
Yatharth Wellness Super Speciality Hospital and Heart Care Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"NH-01, Sector-110",201304,"08800797906, 08800797911",N/A,,Private,YES,28.532064,77.384568
Jaypee Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,"A Unit of Jaypee Healthcare Limited, Sector-128",201304,,N/A,http://www.jaypeehealthcare.com,Private,YES,28.515258,77.371495
Modern Pathology and Blood Bank,Uttar Pradesh,GHAZIABAD,"SA-96, Shastri Nagar",201002,"08750472409, 09651941352",N/A,,Private,NO,0,0
Santosh Medical and Dental College,Uttar Pradesh,GHAZIABAD,Kushinagar,201009,9927087638,,http://www.santoshuniversity.com/,Private,,28.670024,77.432342
"MMG, District Hospital Blood Bank",Uttar Pradesh,GHAZIABAD,"MMG, District Hospital Ghaziabad",201001,9990552920,N/A,,Government,YES,28.662528,77.42361
Yashoda Hospital and Research,Uttar Pradesh,GHAZIABAD,3rd M Nehru Nagar ,201001,9718884111,,,Private,YES,28.66037,77.442026
Life Line Blood Bank,Uttar Pradesh,GHAZIABAD,"Life Line Blood Bank 3rd B2 Nehru Nagar
",201001,N/A,N/A,,Private,YES,28.669238,77.440304
"Yashoda Hospital and Research Centre Limited, Kaushambi",Uttar Pradesh,GHAZIABAD,"H-1, Kaushambi, Near Dabur Chowk, Ghaziabad",201001,9711103446,yashodakaushambibb@gmail.com,http://yashodahospital.org/,Private,YES,28.659996,77.438403
Lok Priya Hospital Blood Bank,Uttar Pradesh,GHAZIABAD," G.T. Road, Modinagar",250003,N/A,,,Private,,28.968368,77.730589
"Pushpanjali Crossley Hospital (Max Superspeciality Hospital, Vaishali)",Uttar Pradesh,GHAZIABAD,"W-3, Sector-I, Vaishali",201012,9891864672,pradeep.singhnegi@maxhealthcare.com,,Private,YES,28.634769,77.333007
M/s Shanti Gopal Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,"Plot No. NH-1, Ahinsa Khand-II, Indrapuram",201014,"09598060511, 09598060512",N/A,,Private,YES,28.641918,77.379325
Divya Joyati Institute Of Medical Science & Research,Uttar Pradesh,GHAZIABAD,"Niwari Road, Road, Modinagar
",201204,9368564762,,,Private,NO,28.830657,77.570159
Family Health Care Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,"15-H.C. -1 Vasundhara, Gaziabad, Uttar Pradesh",201012,9953234790,familyhealthcarehospital@gmail.com,http://www.familyhealthcare.nic.in,Private,YES,28.652652,77.360171
Atlanta Mediworld Multispeciality Hospital,Uttar Pradesh,GHAZIABAD,"NH-1, Sector-14, Vasundhara",201010,9650128880,,,Private,YES,28.657847,77.360777
Idst Mayo Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,"Delhi Meerut Road, Nh-58, Kadrabad, Modinagar",,8449711767,,,Private,NO,0,0
Bhagwan Buddha Charitable Blood Bank,Uttar Pradesh,GHAZIABAD,"1St Floor, Central Market Sector 2B Vasundhara Ghaziabad",201012,"+91-9599813133, 08860626562",bbcbb2016@gmail.com,,Charity,YES,0,0
Dev Nandani Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,"Near Railway Crossing, Garh Road",245010,N/A,,,Private,,28.728814,77.792219
Rama Medical College and Research Centre Blood Bank ,Uttar Pradesh,GHAZIABAD,"Run by Rama Educational Society, Rama Delhi NH-24 [38km milestone] Hapur",245304,8859091804,,,Private,YES,28.69787,77.607979
Narinder Mohan Hospital and Heart Centre,Uttar Pradesh,GHAZIABAD,"Mohan Nagar, Ghaziabad.
",201007,"9899965656, 09899879722","nmhgzb@gmail.com, bloodbank@nmh.net.in",http://www.narindermohanhospital.net,Private,YES,28.666671,77.439269
District Hospital Blood Bank,Uttar Pradesh,GHAZIPUR,"District Hospital, Gazipur
",237001,N/A,N/A,,Government,NO,25.582008,83.582114
District Hospital Blood Bank,Uttar Pradesh,GONDA,Balrampur,271201,7376068569,,,Government,,27.409813,82.192774
S.M. Medicare Private Limited,Uttar Pradesh,GORAKHPUR,"229 Betiahata , Gorakhpur",273001,9935302243,smmedicarepvtltd@gmail.com,,Private,NO,0,0
City Blood Bank,Uttar Pradesh,GORAKHPUR,"Pratibha Complex,  Infront of Jubilee Inter School, Jublee Nagar ",273001,9956201174,N/A,,Private,YES,26.753844,83.364532
Air Force Hospital Blood Bank,Uttar Pradesh,GORAKHPUR,Maharajganj,273014,N/A,,,Government,,26.759066,83.420833
District Hospital Blood Bank,Uttar Pradesh,GORAKHPUR,Bareilly,N/A,9415671941,,,Government,,0,0
Nehru Hospital and B.R.D. Medical College,Uttar Pradesh,GORAKHPUR,Gorakhpur,273013,N/A,,,Government,,26.813424,83.400296
Guru Shri Gorakhnath Chikitsalaya Blood Bank,Uttar Pradesh,GORAKHPUR, Gorakhnath Mandir,273015,"08948001076, 09918068846",N/A,,Private,YES,26.776322,83.357794
Fatima Hospital Blood Bank,Uttar Pradesh,GORAKHPUR,Padri Bazar,273014,9453752318,,http://www.fatimahospitalgkp.com,Private,NO,26.787217,83.400142
Savitri Blood Bank and Component Centre,Uttar Pradesh,GORAKHPUR,"Savitri Hospital Campus, Dilezakpur, Cinema Road
",273001,9415245598,N/A,,Private,YES,26.758493,83.364814
Shree Lakhan Sewa Kailashi Chairitable Blood Bank,Uttar Pradesh,GORAKHPUR,Near Patna Chauraha Barhalganj,,9807636642,,,Charity,YES,0,0
District Hospital Blood Bank,Uttar Pradesh,HAMIRPUR,Sitapur,208014,9412336877,,,Government,,0,0
Saraswathi Institute of Medical Science,Uttar Pradesh,HAPUR,"NH-24, Anwarpur Pilkhuwa",245304,N/A,,,Private,YES,28.713701,77.692994
G S Medical College & Hospital  Blood Bank,Uttar Pradesh,HAPUR,"Village-Peeplabandpur, NH-24 ",245304,9810305552,,,Private,YES,0,0
District Hospital Blood Bank,Uttar Pradesh,HARDOI,Gorakhpur,241001,9670783667,,,Government,,27.395757,80.134659
Bagla Combined District Hospital Blood Bank,Uttar Pradesh,HATHRAS,,,9415332416,,,Government,,27.599857,78.049858
Government Medical College and Hospital Blood Bank,Uttar Pradesh,JALAUN,"Government Medical College and Hospital, Orai",285001,N/A,N/A,,Government,,25.999845,79.473401
District Hospital Blood Bank,Uttar Pradesh,JAUNPUR,Ghaziabad,222001,8192833336,,,Government,,25.759674,82.696747
M/s Isha Hospital Blood Bank,Uttar Pradesh,JAUNPUR,Haribandhanpur Parav,222002,"07535945945, 07534945945",,,Private,,25.733137,82.672548
Krishna Hart Care & Maternity Home,Uttar Pradesh,JAUNPUR,"Umarpur, Haribandhanpur
",,,,,Private,NO,0,0
Sant Diagnostic Centre and Blood Bank,Uttar Pradesh,JHANSI,"25/1A, Sant Bhawan, Opposite to MLB Medical College, Between Gate no -1 & 2, Kanpur Road Jhansi",284128,9695290268,santbloodbankjhansi@gmail.com,http://bloodbank.nhp.gov.in/,Private,NO,25.45845516,78.61560658
MLB Medical College and Hospital,Uttar Pradesh,JHANSI,"Bundelkhand University
Jhansi.",284128,9450939194,N/A,http://mlbmcj.in/,Government,YES,25.459045,78.615934
District Hospital Blood Bank,Uttar Pradesh,JHANSI,"Shivpuri Road, Rajghat Colony, Jhansi.",284002,9415364919,,,Government,NO,25.457843,78.57868
St. Judes Hospital Blood Bank,Uttar Pradesh,JHANSI,"St. Judes Hospital Campus
 Sipri, Jhansi",284003,9415412699,stjudeshospitaljhansi@yahoo.co.in,,D.C.P. (Pathology),Charity,31-12-2017,25.462874,78.547451
"Life Line Blood Bank, Military Hospital",Uttar Pradesh,JHANSI,Military Hospital Jhansi,2700274,N/A,N/A,,Government,,0,0
Gaurav Diagnostic Center and Blood Bank,Uttar Pradesh,JHANSI,"Opposite Gate No:1, MLB Medical Collage, Jhansi",284001,N/A,,,Private,,0,0
Nirmal Hospital Blood Bank,Uttar Pradesh,JHANSI,Opposite Medical College Gate No.-03,284128,9450881860,,,,,25.460278,78.617827
Parakh Voluntary Blood Bank ,Uttar Pradesh,JHANSI,"Run by Samagra Vikash Jan Kalyan Samiti, Karguawaji Road, Opposite Gate No.-2",284128,9412342308,N/A,,Charity,YES,25.458336,78.616978
Combined District Hospital Blood Bank,Uttar Pradesh,KANNAUJ,"Combined District Hospital, Kannauj",,N/A,,,Government,NO,27.118091,79.712484
B.S.D.B.A. Government Medical College and Hospital,Uttar Pradesh,KANNAUJ,"Tirwa - Kannauj Road, Tirwa, NH 91A, Nunari
",209732,9415527666,N/A,,Government,YES,26.963334,79.792236
Combined District Hospital (M) Blood Bank,Uttar Pradesh,KANPUR DEHAT,"Akbarpur, Kanpur Dehat ",209202,N/A,N/A,,Government,NO,26.380489,26.380489
Mariampur Hospital and Blood Bank,Uttar Pradesh,KANPUR NAGAR,Shastri Nagar,208005,N/A,mariampurbloodbank@gmail.com,http://mariampurhospital.com/,Private,NO,26.465207,80.305556
Life Line Blood Bank,Uttar Pradesh,KANPUR NAGAR," B-1, Sarvoday Nagar",208005,9412230493,N/A,,Private,NO,26.479559,80.299895
Regency Hospital Limited,Uttar Pradesh,KANPUR NAGAR," A-2, Sarvodaya Nagar",208005,9389476580,avneeshchandra@regencyhealthcare.in,http://www.regencyhospital.in/,Private,YES,26.479223,80.316263
GSVM Medical College Blood Bank,Uttar Pradesh,KANPUR NAGAR,"Swaroop Nagar, Kanpur",208002,9450835110,N/A,http://www.gsvmmedicalcollege.com/,Government,YES,26.481102,80.307684
Sanjeevani Blood Bank,Uttar Pradesh,KANPUR NAGAR," 117/O 461 ,Geeta Nagar, Kanpur",208025,8005192796,N/A,,Private,NO,26.486118,80.290276
Sneh Pathology X-ray and Blood Bank,Uttar Pradesh,KANPUR NAGAR,"133/10, O-Block, Kidwai Nagar",208023,9415088785,snehpathology@gmail.com,,Private,YES,26.439394,80.33679
"UHM, District Hospital",Uttar Pradesh,KANPUR NAGAR,"Shop No. 30/01, Mall Rd, Bada Chouraha, Parade Chouraha, Parade, Kanpur",208001,9415068049,N/A,,Government,YES,26.474045,80.346099
Air Force Hospital,Uttar Pradesh,KANPUR NAGAR," Nathu Singh Road, Saharanpur",208004,N/A,,,Government,,26.446739,80.375727
CLM Hospital and Blood Bank,Uttar Pradesh,KANPUR NAGAR,"121/625, Industrial Estate, Shastri Nagar",208005,N/A,,,Private,,26.463772,80.296612
Sai Blood Bank,Uttar Pradesh,KANPUR NAGAR,"N-2, Kidwai Nagar",208011,N/A,,,Private,,26.433311,80.322243
Rama Medical College Hospital and Research Centre,Uttar Pradesh,KANPUR NAGAR,"Rama Medical College Hospital & Research Centre
Blood Bank, GT Road, Mandhana, Kanpur",209217,8090167357,knverma10@gmail.com,http://www.ramamedicare.com,Private,YES,26.567295,80.220837
LPS Institute of Cardiology,Uttar Pradesh,KANPUR NAGAR,"Mall Road, Sarvodaya Nagar",208002,9690261262,,,Government,,26.481154,80.303811
Tulsi Hospital Limited,Uttar Pradesh,KANPUR NAGAR,"14/116-A, Civil Lines",208001,9837184061,,,Private,,26.479826,80.344033
Krishna Super Speciality Hospital ,Uttar Pradesh,KANPUR NAGAR,"A Unit of Gita Healthcare Private Limited, 363, Harrisganj, Near Tatmil Chauraha",208004,"09455931692, 08009710002",nabhkssh@gmail.com,http://www.krishna-hospital.com,Private,YES,26.448475,80.344084
Mayanjali Charitable Blood Bank ,Uttar Pradesh,KANPUR NAGAR,"14/113, Padam Towers, Civil Lines, Kanpur",,7706974733,,,Charity,YES,0,0
Madhulok Hospital,Uttar Pradesh,KANPUR NAGAR,"628,K-Block Kidwai Nagar ",,9598060515,,,Private,NO,0,0
SPM Hospital Research and Trauma Centre Blood Bank,Uttar Pradesh,KANPUR NAGAR," A Unit of Tyco Hospitals Private Ltimited, C-48, Kalyanpur",208017,9198607532,,http://www.spmhospital.com,Private,YES,26.501131,80.257486
District Hospital,Uttar Pradesh,Kasganj,"Mathura-Bareilly Road, Opposite Birla Hospital, Kashganj",N/A,N/A,,,Government,,0,0
Combined District Hospital,Uttar Pradesh,KAUSHAMBI,Manjhanpur,,"08005192672, 09412377198",,,Government,,25.361049,81.403171
Joint District Hospital,Uttar Pradesh,Kushinagar,N/A,N/A,"09927031274, 09837886870",,,Government,,0,0
District Hospital,Uttar Pradesh,Lakhimpur Kheri,Auriya,262701,9415543070,,,Government,,27.945898,80.784474
District Hospital,Uttar Pradesh,LALITPUR,Chitrakoot,284403,N/A,,,Government,,24.696225,78.412323
Dr. Shankuntala Misra Blood Bank,Uttar Pradesh,LUCKNOW,"Plot No. 463/1, Village Anaura
",,,,,Private,NO,0,0
Career Institute of Medical Sciences and Hospital Blood Bank ,Uttar Pradesh,LUCKNOW,"A Unit of Career Convent Education and Charitable Trust, Sitapur-Hardoi Bypass Road, Near IIM",226020,N/A,,,Private,,26.91543,80.909715
Indira Diagnostic and Blood Bank Limited,Uttar Pradesh,LUCKNOW," Sanjay Gandhi Puram, Faizabad Road",226016,9389476580,,,Private,,26.870091,80.971582
Sanjay Gandhi Post-Graduate Institute (SGPGI),Uttar Pradesh,LUCKNOW,"Department of Transfusion Medicine, Sanjay Gandhi Postgraduate Institute of Medical Sciences, Rae Bareli Road",226014,,tmsgpgi@gmail.com,http://www.sgpgi.ac.in/,Government,YES,26.742135,80.945981
Sh. Chattrapati Shivaji Maharaj Chikitsalaya University,Uttar Pradesh,LUCKNOW,"KGMU, Lucknow",226003,9335349791,,http://www.transfusionmed.info/,Government,,26.813839,80.904558
Balrampur Hospital Blood Bank,Uttar Pradesh,LUCKNOW,"Balrampur Hospital, Chakbast Road, Qaiserbagh, Lucknow, Uttar Pradesh",226018,9415214308,,,Government,,26.856601,80.926431
Command Hospital Blood Bank,Uttar Pradesh,LUCKNOW,Faizabad,226002,9415226197,,,Government,,26.81745,80.940818
Dr. Shyama Prasad Mukharjee Civil Hospital,Uttar Pradesh,LUCKNOW,Gorakhpur,226001,9897406711,,,Government,,26.844593,80.948999
Vivekanand Polyclinic and Institute of Medical Sciences,Uttar Pradesh,LUCKNOW,Vrindaban,226007,9415034053,,,Government,,26.875283,80.942804
Kohli Blood Bank and Components Private limited,Uttar Pradesh,LUCKNOW,"2nd Floor, A-Block, Kanchan Market, Chowk",226003,N/A,,,Private,,26.865274,80.911431
Eras Medical College and Hospital Blood Bank,Uttar Pradesh,LUCKNOW,"Sarfaraj Ganj, Musabag, Picnic Spot-Hardoi Road",226003,N/A,,http://www.elmcindia.org/,Private,,26.878389,80.872448
Shekhar Hospital Private Limited Blood Bank,Uttar Pradesh,LUCKNOW,"B Block, Church Road, Indira Nagar, Lucknow",226016,9415022105,,,Private,YES,26.876188,80.985528
Nidan Diagnostic Centre and Blood Bank,Uttar Pradesh,LUCKNOW,"4/31, Captan Manoj Pandey Chauraha, Vivek Khand, Gomti Nagar",226010,N/A,,,Private,,26.854084,80.995132
Dr Ram Manohar Lohia Institute of Medical Sciences,Uttar Pradesh,LUCKNOW,Gomati Nagar,226010,"09997031902, 09897766466",,,Government,,26.86889,80.999691
St. Joseph Hospital Blood Bank,Uttar Pradesh,LUCKNOW,"Vishal Khand-5, Gomti Nagar",226010,"0522 4054228, 0522 4054236",stjoseph2004@yahoo.com,,Charity,YES,26.854293,80.991967
B.N.K. Hospital Blood Bank,Uttar Pradesh,LUCKNOW,"B-1/196 Nirala Nagar, Lucknow",226020,9451817060,bipinverma5@gmail.com,http://www.nhp.gov.in/cms/naco_admin/update-bloodbank.php?,Private,NO,26.879585,80.932757
Lucknow Nursing Home Association Blood Bank,Uttar Pradesh,LUCKNOW,"c 228, Officers Colony, Nirala Nagar",226020,"07309036038, 09795017000",,,Charity,YES,26.878474,80.938496
Sahara Hospital Blood Bank,Uttar Pradesh,LUCKNOW,"Viraj Khand, Gomati Nagar",226010,5226781683,,http://www.saharahospitals.com,Private,YES,26.850106,81.023867
Divine Heart Hospital and Research Centre Blood Bank,Uttar Pradesh,LUCKNOW,"Viraj Khand, Institutional Area - 5, Gomti Nagar",226010,"09208883124, 09415207011, 09415287585",,http://www.divinehearthospital.com/,Private,,26.859198,81.023215
Nova Hospital Limited,Uttar Pradesh,LUCKNOW,"Patrakarpuram Crossing Vikash Khand-1,Gomti Nagar",226010,N/A,,,Private,,26.850001,80.983334
Fatima Hospital Blood bank,Uttar Pradesh,LUCKNOW," 35-C, Mahanagar Colony",226006,7703001503,fatimahospitallko@gmail.com,,Charity,NO,26.871551,80.952133
Dr O P Choudhery Hospital Blood Bank,Uttar Pradesh,LUCKNOW,"Chaudhary Vihar, Raibarely Road",226002,N/A,,http://www.dropchaudharyhospital.com/,Private,,26.785201,80.973148
Integral Institute of Medical Sciences and Research Blood Bank,Uttar Pradesh,LUCKNOW,"Kursi Road, Lucknow",226026,9415183133,,,Private,,26.957942,81.002588
Medison Hospital Private Limited Blood Bank,Uttar Pradesh,LUCKNOW,"Medison Hospital & Blood Bank, UGF,D3 Durgapuram Colony Sector 13 VikasNagar, Near Goel Motors,Near Tedhi Pulia,Ring Road",226022,"09389893307, 09935896313",faizan1584@gmail.com,http://www.medisonhospital.com/,Private,YES,26.90491,80.959052
Fehmina Hospital and Blood Bank,Uttar Pradesh,LUCKNOW,"Victoriaganaj, Near Sunni Inter College, Tulsidas marg",226004,"07860054449, 09415016897",fhbloodbank@gmail.com,http:/www.fehminahospital.com,Private,YES,26.854943,80.90488
GCRG Memorial Hospital & Charitable Blood Bank,Uttar Pradesh,LUCKNOW,"Village-Parvatpur, Chandrika Devi Road, Bakshi Ka Talab",226001,9559662557,ms.gcrgbs@gmail.com,,Private,NO,26.842776,80.949164
M.C. Saxena College of Medical Sciences Charitable Blood Bank,Uttar Pradesh,LUCKNOW,"668, Saitha, IIM Dubagga Bypass, Mall Road
",226101,9559912233,,,Private,NO,0,0
Charak Hospital and Research Center Blood Bank,Uttar Pradesh,LUCKNOW,"Dubagga Hardoi Road, Lucknow",226003,,,,Private,NO,26.872555,80.871172
Prasad Institute Of Medical Sciences,Uttar Pradesh,LUCKNOW,"Shahjadi, Banthara, Kanpur Road",,9235407888,,,Charity,YES,0,0
Combined District Hospital,Uttar Pradesh,MAHARAJGANJ,N/A,N/A,N/A,,,Government,,0,0
District Hospital,Uttar Pradesh,MAHOBA,"Makaniya Purva, Mahoba",210427,N/A,,,Government,,25.293146,79.88485
District Hospital Blood Bank,Uttar Pradesh,MAINPURI,Ghaziabad,205001,N/A,,,Government,,0,0
Agrawal Life Line Hospital and Trauma Centre Blood Bank,Uttar Pradesh,MATHURA,"Kamdhenu Nagar, Agra Road",281006,N/A,N/A,,Private,,27.435244,77.701066
